index,type,value,combination
253,_xmlEntity*,xmlGetEntityFromTable,xml	Entity*	xml	Get	Entity	From	Table	
254,_xmlEntity*,xmlGetEntityFromTable,xml	Entity*	xml	Get	Entity	From	Table	
255,_xmlEntity*,xmlGetEntityFromTable,xml	Entity*	xml	Get	Entity	From	Table	
256,i8*,xmlStrstr,i8*	xml	Strstr	
257,i8*,xmlStrstr,i8*	xml	Strstr	
258,i8*,strchr,i8*	strchr	
259,i32,xmlStrlen,i32	xml	Strlen	
260,i32,xmlStrlen,i32	xml	Strlen	
261,i32,xmlStrlen,i32	xml	Strlen	
262,i32,xmlStrlen,i32	xml	Strlen	
263,i32,xmlStrcmp,i32	xml	Strcmp	
264,i32,xmlStrcmp,i32	xml	Strcmp	
265,i32,xmlStrcmp,i32	xml	Strcmp	
266,i32,xmlStrcmp,i32	xml	Strcmp	
267,_xmlDoc*,xmlParseFile,xml	Doc*	xml	Parse	File	
268,_xmlNode*,xmlDocGetRootElement,xml	Node*	xml	Doc	Get	Root	Element	
269,_xmlNs*,xmlSearchNsByHref,xml	Ns*	xml	Search	Ns	By	Href	
270,i32,xmlStrcmp,i32	xml	Strcmp	
271,i32,xmlIsBlankNode,i32	xml	Is	Blank	Node	
272,_xmlNode*,xmlDocGetRootElement,xml	Node*	xml	Doc	Get	Root	Element	
273,_xmlNode*,xmlDocGetRootElement,xml	Node*	xml	Doc	Get	Root	Element	
274,_xmlNs*,xmlSearchNsByHref,xml	Ns*	xml	Search	Ns	By	Href	
275,i32,xmlStrcmp,i32	xml	Strcmp	
276,_xmlNode*,xmlDocGetRootElement,xml	Node*	xml	Doc	Get	Root	Element	
277,i32,xmlStrcmp,i32	xml	Strcmp	
278,_xmlNs*,xmlSearchNsByHref,xml	Ns*	xml	Search	Ns	By	Href	
279,job*,parseJob,job	parse	Job	
280,gjob*,parseGjobFile,gjob	parse	Gjob	File	
281,i32,xmlStrcmp,i32	xml	Strcmp	
282,i32,xmlStrcmp,i32	xml	Strcmp	
283,i32,xmlStrEqual,i32	xml	Str	Equal	
284,i32,xmlStrEqual,i32	xml	Str	Equal	
285,i32,xmlStrEqual,i32	xml	Str	Equal	
286,_xmlHashTable*,xmlHashCreate,xml	Hash	Table*	xml	Hash	Create	
287,i32,xmlDictOwns,i32	xml	Dict	Owns	
288,i32,xmlDictOwns,i32	xml	Dict	Owns	
289,i32,xmlDictOwns,i32	xml	Dict	Owns	
290,i32,xmlStrEqual,i32	xml	Str	Equal	
291,i32,xmlStrEqual,i32	xml	Str	Equal	
292,i32,xmlStrEqual,i32	xml	Str	Equal	
293,i32,xmlStrEqual,i32	xml	Str	Equal	
294,i32,xmlStrEqual,i32	xml	Str	Equal	
295,i32,xmlStrEqual,i32	xml	Str	Equal	
296,i32,xmlDictOwns,i32	xml	Dict	Owns	
