index,type,value,combination
7770,i32,14,i32	constant	
7771,,internal global _xmlDtd* null,	constant	
7772,_xmlDtd*,null,xml	Dtd*	null	
7773,i32,0,i32	constant	
7774,i32,8,i32	constant	
7775,,internal global i32 0,	constant	
7776,i32,0,i32	constant	
7777,_xmlOutputBuffer*,null,xml	Output	Buffer*	null	
7778,i32,0,i32	constant	
7779,i32,3,i32	constant	
7780,i32,1,i32	constant	
7781,i32,3,i32	constant	
7782,i32,0,i32	constant	
7783,i32,1,i32	constant	
7784,i32,2,i32	constant	
7785,i32,3,i32	constant	
7786,_xmlNode*,null,xml	Node*	null	
7787,,internal global _xmlDoc* null,	constant	
7788,_xmlDoc*,null,xml	Doc*	null	
7789,i32,3,i32	constant	
7790,i8*,null,i8*	null	
7791,i32,3,i32	constant	
7792,i32,3,i32	constant	
7793,i32,14,i32	constant	
7794,i32,0,i32	constant	
7795,i32,3,i32	constant	
7796,i32,1,i32	constant	
7797,i32,2,i32	constant	
7798,i32,3,i32	constant	
7799,i8*,null,i8*	null	
7800,i32,3,i32	constant	
7801,,internal global i32 0,	constant	
7802,i32,0,i32	constant	
7803,i32,0,i32	constant	
7804,i32,4,i32	constant	
7805,i32,0,i32	constant	
7806,i32,1,i32	constant	
7807,i32,2,i32	constant	
7808,i32,4,i32	constant	
7809,i32,2,i32	constant	
7810,i32,2,i32	constant	
7811,i32,2,i32	constant	
7812,i32,4,i32	constant	
7813,i32,2,i32	constant	
7814,i32,2,i32	constant	
7815,i32,4,i32	constant	
7816,i32,2,i32	constant	
7817,i32,3,i32	constant	
7818,i32,2,i32	constant	
7819,i32,4,i32	constant	
7820,i32,2,i32	constant	
7821,i32,4,i32	constant	
7822,i32,2,i32	constant	
7823,i32,4,i32	constant	
7824,i32,2,i32	constant	
7825,i32,3,i32	constant	
7826,i32,4,i32	constant	
7827,i32,2,i32	constant	
7828,i32,3,i32	constant	
7829,i32,4,i32	constant	
7830,i32,2,i32	constant	
7831,i32,3,i32	constant	
7832,i32,4,i32	constant	
7833,i32,2,i32	constant	
7834,i32,5,i32	constant	
7835,i32,3,i32	constant	
7836,i32,0,i32	constant	
7837,i32,2,i32	constant	
7838,i32,3,i32	constant	
7839,i32,1,i32	constant	
7840,i32,1,i32	constant	
7841,i32,3,i32	constant	
7842,i32,3,i32	constant	
7843,i32,1,i32	constant	
7844,i32,1,i32	constant	
7845,i32,3,i32	constant	
7846,i32,3,i32	constant	
7847,i32,1,i32	constant	
7848,,internal global _xmlNode* null,	constant	
7849,_xmlNode*,null,xml	Node*	null	
7850,i32,1,i32	constant	
7851,i32,1,i32	constant	
7852,i32,3,i32	constant	
