index,type,value,combination,label
312,i32,xmlStrEqual,i32	xml	Str	Equal	,16
313,i32,xmlStrEqual,i32	xml	Str	Equal	,16
314,_xmlHashTable*,xmlHashCreate,xml	Hash	Table*	xml	Hash	Create	,-1
315,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
316,i32,xmlStrEqual,i32	xml	Str	Equal	,16
317,i32,xmlStrEqual,i32	xml	Str	Equal	,16
318,i32,xmlStrEqual,i32	xml	Str	Equal	,16
319,i32,htmlCheckAutoClose,i32	html	Check	Auto	Close	,-1
320,i32,htmlAutoCloseTag,i32	html	Auto	Close	Tag	,-1
321,i32,htmlAutoCloseTag,i32	html	Auto	Close	Tag	,-1
322,i32,xmlStrEqual,i32	xml	Str	Equal	,16
323,i32,xmlStrEqual,i32	xml	Str	Equal	,16
324,_htmlEntityDesc*,htmlEntityValueLookup,html	Entity	Desc*	html	Entity	Value	Lookup	,-1
325,_htmlEntityDesc*,htmlEntityValueLookup,html	Entity	Desc*	html	Entity	Value	Lookup	,-1
326,i8*,htmlParseName,i8*	html	Parse	Name	,-1
327,i32,xmlStrEqual,i32	xml	Str	Equal	,16
328,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
329,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
330,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
331,i8*,xmlStrstr,i8*	xml	Strstr	,45
332,i8*,xmlStrstr,i8*	xml	Strstr	,45
333,i8*,xmlStrstr,i8*	xml	Strstr	,45
334,i8*,xmlStrstr,i8*	xml	Strstr	,45
335,i8*,xmlStrstr,i8*	xml	Strstr	,45
336,i8*,xmlStrstr,i8*	xml	Strstr	,45
337,i8*,xmlStrstr,i8*	xml	Strstr	,45
338,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
339,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
340,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
341,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
342,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
343,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
344,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
345,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
346,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
347,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
348,i8*,xmlStrcasestr,i8*	xml	Strcasestr	,-1
349,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
350,_xmlBuf*,xmlBufFromBuffer,xml	Buf*	xml	Buf	From	Buffer	,-1
351,i64,htmlBufNodeDumpFormat,i64	html	Buf	Node	Dump	Format	,-1
352,i32,xmlParseCharEncoding,i32	xml	Parse	Char	Encoding	,36
353,_xmlOutputBuffer*,xmlOutputBufferCreateFile,xml	Output	Buffer*	xml	Output	Buffer	Create	File	,-1
354,i8*,htmlGetMetaEncoding,i8*	html	Get	Meta	Encoding	,-1
355,i32,xmlParseCharEncoding,i32	xml	Parse	Char	Encoding	,36
356,_xmlOutputBuffer*,xmlAllocOutputBufferInternal,xml	Output	Buffer*	xml	Alloc	Output	Buffer	Internal	,51
357,i32,xmlStrEqual,i32	xml	Str	Equal	,16
358,i32,xmlStrEqual,i32	xml	Str	Equal	,16
359,i32,xmlStrEqual,i32	xml	Str	Equal	,16
360,i32,htmlIsBooleanAttr,i32	html	Is	Boolean	Attr	,-1
361,i8*,xmlNodeListGetString,i8*	xml	Node	List	Get	String	,14
362,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
363,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
364,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
365,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
366,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
367,i32,xmlStrEqual,i32	xml	Str	Equal	,16
368,i32,xmlStrEqual,i32	xml	Str	Equal	,16
369,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
370,i32,xmlStrcasecmp,i32	xml	Strcasecmp	,19
371,i8*,xmlEncodeEntitiesReentrant,i8*	xml	Encode	Entities	Reentrant	,-1
372,_htmlElemDesc*,htmlTagLookup,html	Elem	Desc*	html	Tag	Lookup	,52
373,_htmlElemDesc*,htmlTagLookup,html	Elem	Desc*	html	Tag	Lookup	,52
374,i32,xmlStrcmp,i32	xml	Strcmp	,46
375,i32,xmlStrcmp,i32	xml	Strcmp	,46
376,_htmlElemDesc*,htmlTagLookup,html	Elem	Desc*	html	Tag	Lookup	,52
377,_htmlElemDesc*,htmlTagLookup,html	Elem	Desc*	html	Tag	Lookup	,52
378,_htmlElemDesc*,htmlTagLookup,html	Elem	Desc*	html	Tag	Lookup	,52
379,_htmlElemDesc*,htmlTagLookup,html	Elem	Desc*	html	Tag	Lookup	,52
380,i32,xmlRegisterInputCallbacks,i32	xml	Register	Input	Callbacks	,53
381,_xmlDoc*,xmlReadMemory,xml	Doc*	xml	Read	Memory	,54
382,i32,xmlXIncludeProcess,i32	xml	X	Include	Process	,-1
383,i32,strncmp,i32	strncmp	,55
384,i32,strncmp,i32	strncmp	,55
385,i32,strcmp,i32	strcmp	,32
386,i32,strcmp,i32	strcmp	,32
387,i32,strcmp,i32	strcmp	,32
388,i32,strcmp,i32	strcmp	,32
389,i32,strcmp,i32	strcmp	,32
